platform_en,impressions,clicks,conversions,cost,revenue,ctr,cvr,cpc,cpa,roi
Kwai Ads,31097352,1867988,246524,10003975.1,21611574.3,0.06006903738942145,0.13197301053325824,5.355481459195669,40.580126478557865,2.1602986896678704
Ocean Engine,64811314,4201566,491837,23223670.34,44882325.47,0.06482766265161666,0.11706040081245897,5.527384394294889,47.21822542834313,1.9326112028336688
Tencent Ads,44391000,2824386,323862,13886520.38,32539151.87,0.06362519429614111,0.11466633809967901,4.916651045572383,42.87789360900631,2.3432185298819976
