creative_type_en,impressions,clicks,conversions,cost,revenue,ctr,cvr,cpc,cpa,roi
Image & Text,34341142,2020951,216103,9866994.16,20629340.99,0.05884926599121252,0.10693134074007732,4.882352001607164,45.6587560561399,2.090742191135542
Live Clip,30485600,2030931,292194,10571623.89,29651206.76,0.06661935471173275,0.14387194838229364,5.20530923502571,36.18015390459763,2.8047920611371655
Short Video,75472924,4842058,553926,26675547.77,48752503.89,0.06415622641041442,0.11439887750208692,5.509134291658629,48.15724080472843,1.8276102260523515
